市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
232106,130010101,愛知県,刈谷市,小堤西池のカキツバタ群落,コヅツミニシイケノカキツバタグンラク,,,愛知県刈谷市井ケ谷町小堤西1他,,35.063099,137.057126,月火水木金土日,,,,,,日本三大カキツバタ自生地の一つです。国の天然記念物に指定されています。,,,開花時期は洲原公園第２駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006415.html,国指定天然記念物
232106,130010102,愛知県,刈谷市,椎の木屋敷跡,シイノキヤシキアト,,,愛知県刈谷市銀座6-58-16他,,34.988045,136.988566,月火水木金土日,,,,,,徳川家康の生母‘於大の方’が住んだとされる屋敷跡です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013259.html,市指定史跡
232106,130010103,愛知県,刈谷市,加藤与五郎生家跡,カトウヨゴロウセイカアト,,,愛知県刈谷市野田町西屋敷139-2他,,34.979949,137.02585,月火水木金土日,,,,,,フェライトの父、日本のエジソンともいわれる加藤与五郎博士の生家跡です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/jinbutsu/1006401.html,
232106,130010104,愛知県,刈谷市,宮城道雄供養塔,ミヤギミチオクヨウトウ,,,愛知県刈谷市神田町3-25他,,34.988392,137.014668,月火水木金土日,,,,,,刈谷駅の東で列車から転落して亡くなった「春の海」の作曲者・宮城道雄を供養した塔です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013240.html,市指定史跡
232106,130010105,愛知県,刈谷市,豊田佐吉胸像,トヨダサキチキョウゾウ,,,愛知県刈谷市城町1-1-1,,34.987986,136.984901,月火水木金土日,,,,,,亀城公園内に建てられた豊田式自動織機の発明者である豊田佐吉翁の胸像です。,,,亀城公園駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013255.html,市指定史跡
232106,130010106,愛知県,刈谷市,松本奎堂碑,マツモトケイドウヒ,,,愛知県刈谷市司町2-77他,,34.985572,136.986913,月火水木金土日,,,,,,大和で倒幕の兵を挙げた天誅組の総裁・松本奎堂の旧屋敷跡にある碑です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013252.html,市指定史跡
232106,130010107,愛知県,刈谷市,宍戸弥四郎碑,シシドヤシロウヒ,,,愛知県刈谷市広小路5-37-1,,34.985608,136.990553,月火水木金土日,,,,,,刈谷出身の幕末の志士で、松本奎堂らとともに天誅組として尊王倒幕の兵を大和に挙げた、宍戸弥四郎の生誕の地に建てられた碑です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013253.html,市指定史跡
232106,130010201,愛知県,刈谷市,刈谷市郷土資料館,カリヤシキョウドシリョウカン,,,愛知県刈谷市城町1-25-1,,34.987833,136.986378,火水木金土日,9:00,17:00,祝日（月曜日を含む）は開館。祝日の翌日、年末年始などは休館。,,,刈谷の民俗資料や教育に関する資料などを展示した施設です。資料館の建物は国の登録有形文化財です。,,名鉄三河線「刈谷市」駅から徒歩15分・JR東海道本線「逢妻」駅から徒歩20分,なし（亀城公園駐車場利用可）,,刈谷市郷土資料館,0566-23-1488,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/kyodoshiryokan/1005322.html,国登録有形文化財（建造物）
232106,130010202,愛知県,刈谷市,刈谷市美術館,カリヤシビジュツカン,,,愛知県刈谷市住吉町4-5,,34.985592,137.005687,火水木金土日,9:00,17:00,祝日の翌日、年末年始、展示替・館内整備日などは休館。,春・秋有料展：一般1100円、学生800円冬有料展：一般500円、学生300円（常設展は無料）,,多彩な企画展を開催するほか、地域の皆さまの創作活動を発表するギャラリー（貸し展示室）としてご利用いただける施設です。,,JR東海道本線「刈谷」駅・名鉄三河線「刈谷」駅から徒歩10分,あり,エレべーター、車椅子、ベビーカーあり,刈谷市美術館,0566-23-1636,,,,https://www.city.kariya.lg.jp/museum/index.html,
232106,130010203,愛知県,刈谷市,刈谷市歴史博物館,カリヤシレキシハクブツカン,,,愛知県刈谷市逢妻町4-25-1,,34.992057,136.985439,火水木金土日,9:00,17:00,祝日（月曜日を含む）は開館。祝日の翌日、年末年始などは休館。,入場料無料,企画展示室のみ企画展毎に異なる,展示や講座、体験コーナー、工作を通して、刈谷の歴史に親しみ、見て、触れて、体験して学べる施設です。,,JR東海道本線「逢妻」駅・名鉄三河線「刈谷市」駅から徒歩15分,あり,エレべーター、車椅子、視覚障害者誘導用ブロックあり,刈谷市歴史博物館,0566-63-6100,,,,https://www.city.kariya.lg.jp/rekihaku/index.html,
232106,130020501,愛知県,刈谷市,刈谷駅前観光案内所,カリヤエキマエカンコウアンナイジョ,,,愛知県刈谷市相生町1-1-6,刈谷市産業振興センター1階,34.990747,137.01144,月火水木金土日,10:00,18:00,第2水曜日（祝日の場合は翌日）及び年末年始（12月29日～翌1月3日）は休館。,,,観光案内、イベント情報など刈谷のことなら何でも分かる便利スポットです。休憩スペースのほか、刈谷のみやげ品を詰め合わせたお土産販売をしています。,,JR東海道本線「刈谷」駅・名鉄三河線「刈谷」駅から徒歩3分,相生駐車場を利用,,刈谷駅前観光案内所,0566-45-5833,,,,http://www.kariya-infobox.jp/,
232106,130020501,愛知県,刈谷市,十朋亭,ジッポウテイ,,,愛知県刈谷市城町1-1,,34.989293,136.984646,月火水木金土日,9:00,21:00,夜間の施設予約が無い日は17：00閉館。年末年始（12月29日～翌1月3日）は休館。,,,桜の名所として知られる亀城公園内にあり、和風庭園ともよく調和し、四季を通じて市民の憩いの場として、各種会合、レクリエーション、休憩所等に幅広くご利用いただける施設です。,,JR東海道本線「逢妻」駅・名鉄三河線「刈谷市」駅から徒歩15分,亀城公園駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/jippotei/1005305.html,
232106,190020501,愛知県,刈谷市,交通児童遊園,コウツウジドウユウエン,,,愛知県刈谷市神田町3-47-1,,34.988006,137.014345,月火木金土日,9:00,16:30,春休み、お盆期間は水曜日も開園。年末年始（12月29日～翌1月3日）及び水曜日が祝日の場合その翌日は原則休園。,20円～,【大型遊具】1人50円【小型遊具】1回20円【パターゴルフ】1ラウンド1人100円,低料金で楽しめる遊具があり、子どもたちの遊び場がたくさん整備された児童遊園です。,,JR東海道本線・名鉄三河線「刈谷駅」下車、南口から徒歩約8分、刈谷市コミュニティバス「かりまる」東境線、逢妻線「交通児童遊園」バス停下車、西境線、小垣江線、東刈谷線「ひまわり」バス停から徒歩3分。,95台（普通車のみ、うち4台おもいやり専用）,車いす（1台）貸出可能。,交通児童遊園,0566-22-9371,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/kotsu_jidou/index.html,
232106,190020502,愛知県,刈谷市,夢と学びの科学体験館,ユメトマナビノカガクタイケンカン,,,愛知県刈谷市神田町1-39-3,,34.988153,137.012898,月火木金土日,9:00,17:00,館内整理日、年末年始（12月29日～翌1月3日）及び水曜日が祝日の場合その翌日は休館。,100円～,【プラネタリウム】大人300円、小人（※18歳に達する日の属する年度の末日までの人）100円、3歳以下無料【ラボ科学体験】100円～【簡単工作】100円～※ラボ科学体験講座と簡単工作は講座により料金が異なります。,プラネタリウムがあるほか、土日祝や学校の長期休み期間中にはラボの科学体験講座やサイエンスショーなどが開催され、科学について楽しく学べる施設です。,,JR東海道本線・名鉄三河線「刈谷駅」下車、南口から徒歩約8分、刈谷市コミュニティバス「かりまる」東境線、逢妻線「交通児童遊園」バス停から徒歩5分。,39台（うち1台おもいやり専用）,1Fに多目的トイレ有。車いす（1台）貸出可能。,夢と学びの科学体験館,0566-24-0311,,,,https://www.city.kariya.lg.jp/yumemana/,
232106,220010301,愛知県,刈谷市,産業振興センター,サンギョウシンコウセンター,,,愛知県刈谷市相生町1-1-6,,34.990641,137.011139,月火水木金土日,9:00,22:00,第2水曜日（祝日の場合は翌日）及び年末年始（12月29日～翌1月3日）は休館。,,,産業の活性化と振興を目的とした施設で、展示会や研修会としても利用できます。,,,なし（隣接する市営相生駐車場は利用可）,多目的トイレ、エレベーター、車椅子あり,産業振興センター,0566-28-0555,,,,https://www.city.kariya.lg.jp/shisetsu/sangyo_keizai/1005633.html,
232106,340010301,愛知県,刈谷市,依佐美送信所記念館,ヨサミソウシンジョキネンカン,,,愛知県刈谷市高須町石山2-1,,34.97161,137.01728,火水木金土日,9:00,17:00,年末年始及び月曜日が祝日の場合その翌日は休館。,,,依佐美送信所で使用されていた通信施設などの産業遺産を展示した記念館です。,,刈谷市コミュニティバス「かりまる」　依佐美線「フローラルガーデンよさみ」バス停すぐ,あり（一般418台、障害者用3台、大型車2台）,エレベーター、車椅子あり,フローラルガーデンよさみ,0566-29-4330,,,,http://garden-yosami.jp/,
232106,340020401,愛知県,刈谷市,ミササガパーク,ミササガパーク,,,愛知県刈谷市半城土西町2-4,,34.980912,137.013646,月火水木金土日,,,,,,カナダのミササガ市との友好を記念して整備された公園です。ベーカリーカフェやドッグラン、インクルーシブ遊具などが整備され、憩いの場所となっています。,,刈谷市コミュニティバス「かりまる」　小垣江線「ミササガパーク」バス停すぐ,あり（一般193台、障害者用2台）,車椅子あり,ミササガパーク,0566-87-4586,,,,https://mississauga-park.com/,
232106,340020402,愛知県,刈谷市,洲原公園,スハラコウエン,,,愛知県刈谷市井ケ谷町洲原4-1,,35.056363,137.053338,月火水木金土日,,,レクリエーション施設（プール等）は水曜日と年末年始が休館。,,,お花見スポットとしても親しまれている公園で、温水プールやデイキャンプ場など家族で楽しめる施設が整っています。,,"刈谷市コミュニティバス「かりまる」　東境線「洲原公園北口」バス停すぐ,名鉄バス　「洲原公園口」バス停から徒歩10分",あり（一般536台、障害者用14台、思いやり駐車場9台、大型車4台、軽自動車4台）,車椅子あり,刈谷市役所公園緑地課,0566-62-1023,,,,https://www.city.kariya.lg.jp/kurashi/road_park/park/1017262/1004223.html,
232106,340020403,愛知県,刈谷市,フローラルガーデンよさみ,フローラルガーデンヨサミ,,,愛知県刈谷市高須町石山2-1,,34.972957,137.017306,月火水木金土日,,,フローラルプラザの開館時間は9:00～17:00、休館日は月曜日（祝日の場合はその翌日）及び年末年始。,,,季節の花や緑があふれる公園で、温室やカフェを備えたフローラルプラザ、ミニＳＬや遊具広場など子どもから大人まで楽しめます。,,刈谷市コミュニティバス「かりまる」　依佐美線「フローラルガーデンよさみ」バス停すぐ,あり（一般418台、障害者用3台、大型車2台）,車椅子あり,フローラルガーデンよさみ,0566-29-4330,,,,http://garden-yosami.jp/,
232106,340020404,愛知県,刈谷市,亀城公園,キジョウコウエン,,,愛知県刈谷市城町1-1-1,,34.989316,136.984642,月火水木金土日,,,,,,桜の名所としても有名な公園で、日本庭園の中にある十朋亭のほかに、市の歴史に親しみ、学びの拠点となる歴史博物館や体育館、武道場といったスポーツ施設も整っています。,,刈谷市コミュニティバス「かりまる」　逢妻線「刈谷市体育館」バス停より徒歩約３分,"あり（一般1,095台、障害者用5台、大型車5台）",,刈谷市役所公園緑地課,0566-62-1023,,,,https://www.city.kariya.lg.jp/kurashi/road_park/park/1017262/1004221.html,
232106,340020501,愛知県,刈谷市,刈谷ハイウェイオアシス,カリヤハイウェイオアシス,,,愛知県刈谷市東境町吉野55,,35.041085,137.04826,月火水木金土日,,,岩ケ池公園は毎月15日(土日祝日の場合は翌平日)が休園。,,,岩ケ池公園と刈谷PAが隣接した複合施設で、遊具や天然温泉、飲食店など誰もが楽しめる人気スポットです。,,刈谷市コミュニティバス「かりまる」　東境線・西境線「刈谷ハイウェイオアシス」バス停すぐ,"あり（一般1,194台、障害者用24台、大型車5台）",エレべーター、車椅子あり,刈谷ハイウェイオアシス、岩ケ池公園管理事務所,0566-35-0211、0566-36-8138,,,,http://www.iwagaike-park.com/,
232106,440010201,愛知県,刈谷市,加藤与五郎展示室,カトウヨゴロウテンジシツ,,,愛知県刈谷市野田町西田78-2,南部生涯学習センター内,34.977507,137.026719,火水木金土日,9:00,21:00,年末年始（12月29日～翌1月3日）は休館。,,,「フェライトの父」と呼ばれ、数々の偉業を成し遂げた加藤与五郎博士を紹介する展示室です。,,JR東海道本線「野田新町」駅から徒歩15分、刈谷市コミュニティバス「かりまる」東刈谷線・依佐美線「たんぽぽ」バス停すぐ,あり（83台、うち障害者用2台）,車椅子あり,南部生涯学習センター,0566-62-8555,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/tanpopo/1005341.html,
232106,440010202,愛知県,刈谷市,刈谷市総合文化センター,カリヤシソウゴウブンカセンター,,,愛知県刈谷市若松町2-104,,34.989216,137.006918,月火水木金土日,9:00,22:00,第1月曜日（祝日の場合は翌日）、年末年始（12月29日～翌1月3日）などは休館。,,,２つの市民ホール（大ホール・小ホール）と生涯学習センターを柱として、文化芸術・生涯学習の機会を提供する施設です。,,JR東海道本線「刈谷」駅・名鉄三河線「刈谷」駅から徒歩3分,あり（610台、うち障害者用32台）,エレべーター、車椅子、磁気ループ設備あり,刈谷市総合文化センター,0566-21-7430,,,,https://www.kariya-bunka.jp,
232106,480020401,愛知県,刈谷市,刈谷市総合運動公園,カリヤシソウゴウウンドウコウエン,,,愛知県刈谷市築地町荒田1,,35.018888,137.011828,月火水木金土日,,,体育施設（ウィングアリーナ刈谷、ウェーブスタジアム刈谷、グリーングラウンド刈谷）は水曜および年末年始休館。,,,スポーツ・レクリエーションの拠点であり、体育施設ではさまざまな競技をしたりプロスポーツ観戦ができ、園内には大型遊具も整備され、幅広い世代の方々が楽しめます。,,名鉄名古屋本線「富士松」駅から徒歩15分,"あり（1,115台、うち障害者専用20台）",,ウィングアリーナ刈谷,0566-63-6886,,,,https://wing-kariya.jp/,
232106,920020501,愛知県,刈谷市,ウォーターパレスＫＣ,ウォーターパレスケーシー,,,愛知県刈谷市半城土北町1-402,,34.985312,137.024974,月火水木金土日,9:00,21:00,毎月最終月曜日、年末年始、施設整備期間などは休館。,プール：大人500円、小人200円、幼児100円。トレーニングジム：大人300円,大人1人につき幼児1人無料(2人目から100円。65歳以上、身障等手帳所持者及びその付添介護者半額,ゴミを焼却する余熱を利用した温水プールで、流水プールやちびっ子プールなど親子連れで楽しめる施設です。,,JR野田新町駅より徒歩5分・刈谷市コミュニティバス「かりまる」　東刈谷線「ウォーターパレスKC」バス停すぐ・知立ミニバス　4コース 「ウォーターパレスKC」バス停すぐ,166台,多目的トイレ・更衣室・エレベーター・スロープ・身障者用駐車枠,ウォーターパレスＫＣ,0566-24-6261,,,,http://kariyachiryu-wpkc.com/,
